"ID","NOMBRE","CANTIDAD DE HORAS","COMPLEJIDAD"
bced1dcd-0567-4e99-a5c6-93c0bccc7713,Programación Orientada a Objetos,100,ALTA
"02b71780-0266-4974-8465-a0bbed594588","Algoritmos y Estructuras de Datos","80","MEDIA"
"e0ddd10a-b3dc-4072-81e0-4b55447473b7","Desarrollo Web","120","MEDIA"
"f6dbdbbd-19bb-4d01-b0ea-914e8fc811a0","Bases de Datos","90","BAJA"
"68769aaf-dec8-4b1f-82a6-7de4170489ec","Redes de Computadoras","70","MEDIA"
"3d3c4509-f44b-40fd-81cd-d3a223c3a60a","Inteligencia Artificial","150","ALTA"
"c43d7f41-4477-4b23-9f71-f6f931e1b693","Ciberseguridad","110","ALTA"
"7cecd119-5d5b-4f43-ab12-dc3ca10dda7e","Desarrollo Móvil","130","MEDIA"
"da7274f9-cb3e-43ed-8529-156857fb4366","Sistemas Operativos","100","MEDIA"
"4f56c8ae-b6d3-492f-a8dd-5bf00b1332dc","Ingeniería de Software","140","ALTA"
"0de6eba0-2e9d-4db5-8f1a-109b14be1f50","Programación Funcional","80","MEDIA"
"932f91ad-1303-4567-bae0-541cf82843ad","Machine Learning","160","ALTA"
"fabf6b7d-1406-4784-b3c7-2553ca5332b5","Desarrollo de Videojuegos","150","ALTA"
"b41e86d8-72df-4e2d-be86-19c9427e4d8b","Metodologías Ágiles","60","BAJA"
"c40fb274-8c5a-4369-a1bc-17beddbfd0a8","Análisis de Datos","110","MEDIA"
"744ab843-7a36-4453-bcac-3f7d6b023cb2","Computación en la Nube","100","MEDIA"
"e77cfdb2-3412-4693-ad2b-41423b091c1a","Programación en Python","90","BAJA"
"4ef55c25-17ca-4504-b733-081e3f6b1fc6","Desarrollo de APIs","120","MEDIA"
"a5402360-de83-40d7-996e-ff6acae7c259","Big Data","140","ALTA"
"1be50b75-29d0-49cf-976f-c34476830e52","Blockchain","130","ALTA"
"b48b9e6b-b017-4ac6-8491-33b0589af206","UX/UI Design","80","BAJA"
